"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","DarkAdaptedID","Qmax_d","Fo..52","Fm","Fv/Fm","A_dark","LightAdaptedID","Qmax","Fs","Fm'","PhiPS2","PS2/1","Qabs_fs","A_fs","ETR","PhiCO2","NPQ","alt. Fo'","DarkPulseID","Fmin","Fo'","Fv'/Fm'","qP","qN","qP_Fo","qN_Fo","qL","1-qL","ID..78","P1_dur","P2_dur","P3_dur","P1_Qmax","P1_Fmax","P2_dQdt","P3_ΔF","ID..86","Duration","Fo..88","F1","F2","Fmax","T@HIR","T@F1","T@F2","T@Fmax","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..105","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","F_avg","dF/dt","dF_dc/dt","F_dc_avg","period","time..156","hhmmss..157","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","CO2_hrs","AccH2O_hum","AccCO2_soda","AccH2O_des","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r"
1,1681920790.5,0,2023-04-19 11:13:10,11:13:10,5,"6578","ozzie",1681920782.59355,0.00423154427160047,4.23154427160047,23.8461308849937,404.453889787414,251.681898392969,24.8837759411704,39.9883346250458,0.273325820405545,3.7896045411234,0.262827169289152,0.165176643130703,193.80971816129,25.1394829253138,25.1394829253138,3.20621556935607,51.6749516030624,1.65352044776495,3.19984904962535,1.55269512159112,-186.611102377581,-6.8176677025853,-0.381012050935196,-6.3969811022524e-05,23.4895150863393,4.25093187281902,23.8461308849937,425.366777219412,411.114949361513,-0.012276687141237,65.1353096466801,4.23154427160047,14.27045852547,16.7326089824426,8.66585635136271e-06,91.9064985525702,8,2,1,0,52532,"-","-",0,0,0,0,"-","-",0,0,0,0.5,0,0,0,0,0,0,"-",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.98032258065,1009.17148064516,0.840990024298786,0.161510746896656,2.96,0.5,"0: Broadleaf",2,TRUE,1681920782.59355,404.453903225806,419.371806451613,16.7241967741935,14.2506806451613,398.553903225806,16.5015774193548,500.191677419355,98.7699709677419,0.0999759774193548,25.1061129032258,24.9381096774194,999.9,0,0,9998.58161290323,0,326.747161290323,-14.9178419354839,411.333161290323,425.434483870968,2.47349935483871,419.371806451613,14.2506806451613,1.65184806451613,1.40754161290323,14.4511774193548,11.9991,1199.98032258065,0.967001032258064,0.0329991903225806,0,2.25533548387097,0,12453.6322580645,10340.0032258065,38.1388387096774,38.7659677419355,38.4513870967742,37.0138709677419,37.6085806451613,1160.38,39.6003225806451,0,1681920791.8,0,2.254168,-0.659915403805373,-41.4769231138663,12448.824,15,0,"--:--:--",1510803818,1510803824.5,0,-0.152,0.022,6.852,0.543,420,25,0.22,0.22,2.4807056097561,-0.168193402131249,0.0171100880311316,1,1,1,"1/1",2.97947,2.75382,0.0972472,0.101312,0.0885462,0.0798796,35492.3,38700.8,35593.7,39018,45857.4,51744.6,55463.1,62449.4,2.05355,2.08025,0.160269,0,22.258,999.9,56.843,24.008,17.2441,60.03,45.4688,1,-0.53159,-1.83414,20.1453,5.20082,12.004,4.97565,3.293,999.9,9999,9999,9999,1.86277,1.86783,1.86752,1.86871,1.86966,1.86564,1.86676,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.899,0.223,3.46240648953694,0.00650669780129106,-1.00758637060109e-06,6.90562208155761e-11,-0.00472963669411444,-0.0251601099742437,0.00284860641252702,-2.96338246638614e-05,-4,2077,0,19,2851949.5,2851949.4,0.900879,2.55859,1.54785,2.28027,1.34644,2.40479,27.3701,15.7431,18,483.205,494.987,24.216,20.3301,30.0003,20.2346,20.1793,18.0623,25.3775,100,24.2282,413.013,14.3445,103.013,104.034
2,1681920795.5,5,2023-04-19 11:13:15,11:13:15,5,"6578","ozzie",1681920787.46333,0.00423510533106106,4.23510533106107,24.1231808562348,404.341686469174,250.393741496771,24.7564234176589,39.9772531685669,0.274223423817987,3.79081481622816,0.263660371475898,0.165702878408116,193.8079988,25.1227178057992,25.1227178057992,3.20301564377858,51.7362145758121,1.65390158617721,3.19679667277097,1.54911405760137,-186.768145099793,-6.66747676078467,-0.372438076078022,-6.1136655804539e-05,23.4236379349945,4.23283927729874,24.1231808562348,425.702027088312,411.180290909091,0.00768591762046679,65.1353096466801,4.23510533106107,14.2736808695996,16.737836969697,1.20105672536337e-05,91.9064985525702,8,2,1,0,52755,"-","-",0,0,0,0,"-","-",0,0,0,0.5,0,0,0,0,0,0,"-",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.96966666667,1009.16252,0.840990025025633,0.161510748299471,2.96,0.5,"0: Broadleaf",2,TRUE,1681920787.46333,404.3417,419.215833333333,16.7280466666667,14.2650966666667,398.442366666667,16.5052666666667,500.197533333333,98.76996,0.10001682,25.0900933333333,24.91109,999.9,0,0,10003.186,0,320.980366666667,-14.87409,411.220666666667,425.282533333333,2.46295133333333,419.215833333333,14.2650966666667,1.652229,1.40896366666667,14.4547433333333,12.01443,1199.96966666667,0.9670016,0.03299858,0,2.25225666666667,0,12446.7833333333,10339.91,38.1998333333333,38.8623333333333,38.5017666666667,37.1372333333333,37.6706333333333,1160.36966666667,39.6,0,1681920796.6,0,2.21992,-0.185276924073011,-0.16153847670773,12446.348,15,0,"--:--:--",1510803818,1510803824.5,0,-0.152,0.022,6.852,0.543,420,25,0.22,0.22,2.47119829268293,-0.138762412808247,0.0150660330128274,1,1,1,"1/1",2.97957,2.75395,0.0972398,0.100737,0.0885628,0.0799429,35492.4,38725.4,35593.6,39017.9,45856.3,51740.7,55462.7,62449.1,2.0533,2.0807,0.157107,0,22.2459,999.9,56.867,24.018,17.2619,60.19,45.9655,1,-0.531583,-1.92621,20.1438,5.20097,12.004,4.9757,3.29298,999.9,9999,9999,9999,1.86274,1.86783,1.86756,1.86871,1.86965,1.86564,1.86676,1.86815,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.898,0.2233,3.46240648953694,0.00650669780129106,-1.00758637060109e-06,6.90562208155761e-11,-0.00472963669411444,-0.0251601099742437,0.00284860641252702,-2.96338246638614e-05,-4,2077,0,19,2851949.6,2851949.5,0.878906,2.56104,1.54785,2.28027,1.34644,2.42676,27.3701,15.7431,18,483.039,495.254,24.2713,20.3301,30.0001,20.2336,20.1776,17.5726,25.0869,100,24.2872,399.518,14.3486,103.012,104.033
3,1681920800.5,10,2023-04-19 11:13:20,11:13:20,5,"6578","ozzie",1681920792.49655,0.00419950085435028,4.19950085435028,23.6391238378174,403.85695218334,251.8320885557,24.8986060119034,39.9292846088476,0.272250677690657,3.79181190393169,0.26183858039331,0.164551419973483,193.807928662482,25.1145013924341,25.1145013924341,3.20144841225884,51.807877621317,1.65466535782655,3.19384895463411,1.54678305443229,-185.197987676847,-8.15469403270913,-0.455338348992748,-9.13960675781311e-05,19.6612330744393,4.20869195990699,23.6391238378174,418.210696319763,408.013666666667,-0.770105629298151,65.1353096466801,4.19950085435028,14.3112206844008,16.75456,2.83243043774274e-05,91.9064985525702,8,2,1,0,52440,"-","-",0,0,0,0,"-","-",0,0,0,0.5,0,0,0,0,0,0,"-",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.97034482759,1009.16299723445,0.840989947446947,0.161510598572608,2.96,0.5,"0: Broadleaf",2,TRUE,1681920792.49655,403.856965517241,416.497965517241,16.7357896551724,14.2868482758621,397.960310344828,16.5126827586207,500.185034482759,98.769924137931,0.099946475862069,25.0746103448276,24.8724724137931,999.9,0,0,10006.9827586207,0,319.102206896552,-12.6411031034483,410.730793103448,422.534620689655,2.44894620689655,416.497965517241,14.2868482758621,1.65299379310345,1.41111137931035,14.4618965517241,12.0375448275862,1199.97034482759,0.967002482758621,0.0329976310344827,0,2.22255862068965,0,12444.7724137931,10339.9103448276,38.2605172413793,38.9459310344828,38.5536551724138,37.267,37.7260689655172,1160.37275862069,39.5968965517241,0,1681920802,0,2.20962692307692,-0.168988036180183,-32.7521366658353,12444.8384615385,15,0,"--:--:--",1510803818,1510803824.5,0,-0.152,0.022,6.852,0.543,420,25,0.22,0.22,2.45499658536585,-0.143631430314566,0.0158895447462384,1,1,1,"1/1",2.97968,2.75388,0.0965591,0.0983577,0.0886301,0.0800947,35519,38827.7,35593.4,39017.8,45852.5,51731.9,55462.5,62449,2.05385,2.08025,0.157177,0,22.2332,999.9,56.843,23.988,17.2235,60.23,45.4928,1,-0.531265,-2.15024,20.1411,5.20321,12.004,4.9758,3.29298,999.9,9999,9999,9999,1.8627,1.86783,1.86756,1.86874,1.86965,1.86564,1.86677,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.877,0.224,3.46240648953694,0.00650669780129106,-1.00758637060109e-06,6.90562208155761e-11,-0.00472963669411444,-0.0251601099742437,0.00284860641252702,-2.96338246638614e-05,-4,2077,0,19,2851949.7,2851949.6,0.847168,2.56592,1.54785,2.28027,1.34644,2.4231,27.3701,15.7431,18,483.38,494.978,24.358,20.3301,30.0004,20.2336,20.1785,16.9871,25.0869,100,24.3916,379.332,14.3387,103.012,104.033
4,1681920805.5,15,2023-04-19 11:13:25,11:13:25,5,"6578","ozzie",1681920797.71429,0.00427579498030879,4.27579498030879,22.9419074606947,401.323629972098,256.586292182421,25.3685197061386,39.6786060895569,0.278538237981343,3.79250797877062,0.267651915684328,0.168225088314103,193.809432507469,25.0897732419634,25.0897732419634,3.19673570833783,51.8791526672835,1.65603935247948,3.19210948393886,1.54069635585835,-188.562558631618,-4.96952006019629,-0.277387742216558,-3.3926561860298e-05,10.9221368309215,4.19958593901808,22.9419074606947,403.307373466117,399.268896969697,-1.87662848247579,65.1353096466801,4.27579498030879,14.3287677371668,16.7763581818182,0.00551104409921823,91.9064985525702,8,2,1,0,52652,"-","-",0,0,0,0,"-","-",0,0,0,0.5,0,0,0,0,0,0,"-",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.98071428571,1009.17162927848,0.840989873640751,0.16151045612665,2.96,0.5,"0: Broadleaf",2,TRUE,1681920797.71429,401.323642857143,408.784678571429,16.749775,14.3061214285714,395.441464285714,16.5260714285714,500.175714285714,98.7693857142857,0.099963425,25.0654678571429,24.8356035714286,999.9,0,0,10009.6857142857,0,317.592142857143,-7.46118217857143,408.160107142857,414.717535714286,2.44366464285714,408.784678571429,14.3061214285714,1.65436535714286,1.41300607142857,14.4747285714286,12.0579178571429,1199.98071428571,0.967003142857143,0.0329969214285714,0,2.23011785714286,0,12442.3071428571,10340.0107142857,38.3234642857143,39.0288214285714,38.6023928571428,37.3970714285714,37.7742857142857,1160.38571428571,39.5942857142857,0,1681920806.2,0,2.228044,-0.296576909954733,-51.3076922587803,12442.164,15,0,"--:--:--",1510803818,1510803824.5,0,-0.152,0.022,6.852,0.543,420,25,0.22,0.22,2.44776292682927,-0.108428639388976,0.0138339471544709,1,1,1,"1/1",2.9792,2.75402,0.0948544,0.0953533,0.0887059,0.0800824,35585.8,38956.7,35593.2,39017.6,45848.3,51732.6,55462.1,62449.1,2.05333,2.08025,0.158276,0,22.2257,999.9,56.843,24.008,17.2452,59.88,45.9175,1,-0.53065,-2.33728,20.1384,5.20336,12.004,4.9756,3.29288,999.9,9999,9999,9999,1.86271,1.86783,1.86753,1.8687,1.86964,1.86562,1.86676,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.826,0.2248,3.46240648953694,0.00650669780129106,-1.00758637060109e-06,6.90562208155761e-11,-0.00472963669411444,-0.0251601099742437,0.00284860641252702,-2.96338246638614e-05,-4,2077,0,19,2851949.8,2851949.7,0.81543,2.57202,1.54785,2.28149,1.34644,2.32788,27.391,15.7344,18,483.062,494.97,24.4837,20.3301,30.0007,20.2343,20.1776,16.297,25.0869,100,24.5193,365.881,14.3387,103.011,104.033
5,1681920810.5,20,2023-04-19 11:13:30,11:13:30,5,"6578","ozzie",1681920803,0.00424769320884092,4.24769320884092,22.4970364783159,394.899098450835,252.088343909216,24.9237262291429,39.0432848472696,0.276705049820829,3.79072945273755,0.265953747417444,0.167152247304444,193.809489415037,25.0962968478779,25.0962968478779,3.19797839153069,51.927642243819,1.65766317027733,3.19225579796981,1.54031522125336,-187.323270509885,-6.14319747839567,-0.343073320520657,-5.18937634668148e-05,-1.26684926133101,4.20014270115484,22.4970364783159,386.679135088091,386.650351515151,-2.59812363146798,65.1353096466801,4.24769320884092,14.3234612073982,16.7886896969697,0.00085988143247084,91.9064985525702,7,1,1,0,52583,"-","-",0,0,0,0,"-","-",0,0,0,0.5,0,0,0,0,0,0,"-",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.98222222222,1009.17280073318,0.840989793052362,0.161510300591059,2.96,0.5,"0: Broadleaf",2,TRUE,1681920803,394.899111111111,395.130962962963,16.7662555555556,14.3223444444444,389.053666666667,16.5418518518519,500.180925925926,98.7689962962963,0.1000186,25.066237037037,24.8250037037037,999.9,0,0,10002.9588888889,0,316.297074074074,-0.231928555555556,401.632777777778,400.872296296296,2.44391888888889,395.130962962963,14.3223444444444,1.65598666666667,1.41460333333333,14.4898777777778,12.0750740740741,1199.98222222222,0.967004148148148,0.0329958407407407,0,2.19514444444444,0,12433.5851851852,10340.0259259259,38.3839259259259,39.1038888888889,38.6478518518518,37.5252222222222,37.8261111111111,1160.39037037037,39.5911111111111,0,1681920811.6,0,2.19232307692308,0.036485479332278,-145.856410190652,12433.0038461538,15,0,"--:--:--",1510803818,1510803824.5,0,-0.152,0.022,6.852,0.543,420,25,0.22,0.22,2.44730658536585,-0.0121399588923428,0.0135421638955678,1,1,1,"1/1",2.97948,2.75385,0.0924454,0.0922055,0.0887532,0.0800557,35680.2,39092,35593,39017.5,45845.6,51733.7,55461.9,62448.7,2.0538,2.07995,0.159588,0,22.2191,999.9,56.818,23.988,17.2169,60.46,46.2179,1,-0.530561,-2.41048,20.1374,5.20366,12.004,4.9756,3.29295,999.9,9999,9999,9999,1.86273,1.86783,1.86755,1.86869,1.86963,1.86564,1.86676,1.86814,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.753,0.2254,3.46240648953694,0.00650669780129106,-1.00758637060109e-06,6.90562208155761e-11,-0.00472963669411444,-0.0251601099742437,0.00284860641252702,-2.96338246638614e-05,-4,2077,0,19,2851949.9,2851949.8,0.783691,2.56592,1.54785,2.28027,1.34644,2.41333,27.3701,15.7431,18,483.366,494.78,24.6205,20.3301,30.0004,20.2353,20.1776,15.6765,25.0869,100,24.6428,352.436,14.3387,103.011,104.032
6,1681920815.5,25,2023-04-19 11:13:35,11:13:35,5,"6578","ozzie",1681920807.71429,0.00426914969557151,4.26914969557152,21.5975291477585,385.101523566134,248.562654689752,24.5749419314905,38.0742939488585,0.278296449828241,3.79319386011408,0.267430505346952,0.168084977951478,193.808390035714,25.0999535853801,25.0999535853801,3.19867514890749,51.9495175594944,1.65915844186773,3.19378989413637,1.53951670703976,-188.269501574704,-5.24612402391877,-0.292802234153686,-3.77970620402124e-05,-10.120940636672,4.22651705776845,21.5975291477585,369.909426854441,372.162042424242,-2.93389437085217,65.1353096466801,4.26914969557152,14.3171918311997,16.79804,0.00043062198242152,91.9064985525702,7,1,1,0,52559,"-","-",0,0,0,0,"-","-",0,0,0,0.5,0,0,0,0,0,0,"-",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.97535714286,1009.16703214286,0.840989797111905,0.161510308425977,2.96,0.5,"0: Broadleaf",2,TRUE,1681920807.71429,385.101535714286,380.075285714286,16.7815178571429,14.3222821428571,379.312321428571,16.5564607142857,500.177571428571,98.7682892857143,0.0999094071428571,25.0743,24.8351392857143,999.9,0,0,10012.4067857143,0,320.67175,5.02622746428572,391.674357142857,385.597964285714,2.45924464285714,380.075285714286,14.3222821428571,1.65748214285714,1.41458678571429,14.50385,12.0748964285714,1199.97535714286,0.967004857142857,0.0329950785714286,0,2.21691071428571,0,12415.3821428571,10339.9785714286,38.4372857142857,39.1738928571429,38.6939642857143,37.6359285714286,37.8813571428571,1160.38428571429,39.5910714285714,0,1681920816.4,0,2.19330769230769,-0.0984888852307746,-305.114530216383,12414.0769230769,15,0,"--:--:--",1510803818,1510803824.5,0,-0.152,0.022,6.852,0.543,420,25,0.22,0.22,2.4510487804878,0.142508153310105,0.0179079118902481,1,1,1,"1/1",2.97936,2.75381,0.0896644,0.0889252,0.0887858,0.0800295,35789.5,39232.8,35593,39017.1,45843.9,51734.8,55462,62448.3,2.05387,2.07975,0.160724,0,22.2142,999.9,56.818,24.008,17.2383,60.17,45.4247,1,-0.530368,-2.43061,20.1371,5.20366,12.004,4.9758,3.293,999.9,9999,9999,9999,1.86271,1.86783,1.86757,1.86871,1.86964,1.86565,1.86677,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.671,0.2258,3.46240648953694,0.00650669780129106,-1.00758637060109e-06,6.90562208155761e-11,-0.00472963669411444,-0.0251601099742437,0.00284860641252702,-2.96338246638614e-05,-4,2077,0,19,2851950,2851949.9,0.754395,2.56226,1.54785,2.28027,1.34644,2.43896,27.3701,15.7344,18,483.413,494.653,24.7452,20.3304,30.0004,20.2353,20.1776,15.0272,25.0869,100,24.7566,332.321,14.3387,103.011,104.032
7,1681920820.5,30,2023-04-19 11:13:40,11:13:40,5,"6578","ozzie",1681920813,0.00429188014337587,4.29188014337588,20.6969430879647,371.299729078853,240.969141239254,23.824273919375,36.7098725018127,0.279675577870694,3.78972010776652,0.268694322795406,0.168884647543497,193.807591222222,25.1111067123932,25.1111067123932,3.20080109306438,51.9391582783812,1.66038811127784,3.19679441545542,1.54041298178654,-189.271914322876,-4.29569416209698,-0.240008128549252,-2.53913001593276e-05,-16.0814990402407,4.25977475172338,20.6969430879647,353.163483174706,356.746224242424,-3.08623041402175,65.1353096466801,4.29188014337588,14.3100146988538,16.8056115151515,0.00021073460959507,91.9064985525702,8,2,1,0,52537,"-","-",0,0,0,0,"-","-",0,0,0,0.5,0,0,0,0,0,0,"-",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.97074074074,1009.16312222222,0.840989774133382,0.161510264077427,2.96,0.5,"0: Broadleaf",2,TRUE,1681920813,371.299740740741,362.719111111111,16.7938925925926,14.3154037037037,365.590037037037,16.5683,500.191074074074,98.7685370370371,0.100030933333333,25.0900814814815,24.8495518518518,999.9,0,0,9999.1662962963,0,332.197074074074,8.58075703703704,377.641851851852,367.986925925926,2.47849555555556,362.719111111111,14.3154037037037,1.65870851851852,1.41391111111111,14.5153074074074,12.0676407407407,1199.97074074074,0.967006518518519,0.0329932925925926,0,2.24553703703704,0,12379.5148148148,10339.937037037,38.4927407407407,39.2473703703704,38.7381851851852,37.765962962963,37.9465925925926,1160.38074074074,39.59,0,1681920821.2,0,2.23313076923077,0.656034180218835,-512.48547060818,12381.0692307692,15,0,"--:--:--",1510803818,1510803824.5,0,-0.152,0.022,6.852,0.543,420,25,0.22,0.22,2.46337634146341,0.223354076655049,0.0221018285035532,1,1,1,"1/1",2.97934,2.75386,0.0866899,0.0858445,0.0888139,0.0799913,35906.2,39365.3,35592.9,39017.2,45842.3,51736.9,55461.8,62448.3,2.05365,2.07993,0.161514,0,22.2135,999.9,56.818,23.988,17.2175,60.12,45.8814,1,-0.530282,-2.42823,20.1371,5.20396,12.004,4.97555,3.29288,999.9,9999,9999,9999,1.86274,1.86783,1.86754,1.86872,1.86961,1.86567,1.86677,1.86813,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.582,0.2261,3.46240648953694,0.00650669780129106,-1.00758637060109e-06,6.90562208155761e-11,-0.00472963669411444,-0.0251601099742437,0.00284860641252702,-2.96338246638614e-05,-4,2077,0,19,2851950,2851949.9,0.721436,2.57812,1.54785,2.28027,1.34644,2.34863,27.391,15.7256,18,483.273,494.764,24.8551,20.3318,30.0002,20.2353,20.1776,14.4125,25.0869,100,24.8596,318.79,14.3387,103.01,104.032
8,1681920825.5,35,2023-04-19 11:13:45,11:13:45,5,"6578","ozzie",1681920817.71429,0.00430813044232414,4.30813044232415,19.6574879000035,357.592060374182,233.941458301309,23.1296324333403,35.3548831301331,0.280353893778091,3.79007230646954,0.26932141888907,0.169280936193081,193.807872,25.1263778068102,25.1263778068102,3.2037139827992,51.9034561987188,1.66108575642264,3.20033746897888,1.54262822637656,-189.988552506495,-3.61722121049357,-0.202116285750952,-1.80027394685034e-05,-18.619322436517,4.28528649960247,19.6574879000035,337.315746529807,341.425018181818,-3.06758040757511,65.1353096466801,4.30813044232415,14.2991108511685,16.8055218181818,2.3976979771924e-05,91.9064985525702,7,1,1,0,52634,"-","-",0,0,0,0,"-","-",0,0,0,0.5,0,0,0,0,0,0,"-",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.9725,1009.1646,0.840989772682291,0.161510261276821,2.96,0.5,"0: Broadleaf",2,TRUE,1681920817.71429,357.592071428572,347.4805,16.8008214285714,14.3075142857143,351.961571428571,16.5749321428571,500.192642857143,98.7693071428571,0.100010853571429,25.108675,24.8660464285714,999.9,0,0,10000.4278571429,0,342.831321428571,10.11172,363.702642857143,352.524285714286,2.49331535714286,347.4805,14.3075142857143,1.65940571428571,1.41314285714286,14.5218107142857,12.0593928571429,1199.9725,0.967007428571429,0.0329923142857143,0,2.26116785714286,0,12329.3571428571,10339.9607142857,38.5489285714286,39.3122857142857,38.7810357142857,37.87925,38.0019285714286,1160.3825,39.59,0,1681920826.6,0,2.265804,0.349161530368024,-759.153847458895,12320.812,15,0,"--:--:--",1510803818,1510803824.5,0,-0.152,0.022,6.852,0.543,420,25,0.22,0.22,2.48128780487805,0.197031637630661,0.0194585344636774,1,1,1,"1/1",2.97935,2.75395,0.0836764,0.08267,0.0888134,0.0799492,36024.3,39501.4,35592.6,39016.7,45842,51738.5,55461.5,62447.5,2.0538,2.07987,0.163693,0,22.217,999.9,56.794,23.988,17.2106,60.61,46.266,1,-0.530142,-2.42839,20.1372,5.20321,12.004,4.9757,3.293,999.9,9999,9999,9999,1.86272,1.86783,1.86755,1.86871,1.86963,1.86563,1.86676,1.86814,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,5.495,0.2261,3.46240648953694,0.00650669780129106,-1.00758637060109e-06,6.90562208155761e-11,-0.00472963669411444,-0.0251601099742437,0.00284860641252702,-2.96338246638614e-05,-4,2077,0,19,2851950.1,2851950,0.689697,2.57568,1.54785,2.28027,1.34644,2.41577,27.3701,15.7344,18,483.366,494.732,24.9521,20.3318,30.0002,20.2353,20.1776,13.7177,25.0869,100,24.9542,298.505,14.3387,103.01,104.03
